wealth,bil
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.40E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.30E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.20E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.10E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
1.00E+09,1
3.40E+12,0
