"Source: Forbes Billionaires List Data - Forbes 400, Oct. 9, 2000. Data came from the magazine.",,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,Wealth (in Billions),,,,,,,,,,,,,,
Donald George Fisher,Fisher,94,"$2,700 ",,,,M,,,$2.7 ,,,,,,,,,,,,,,
Doris Feigenbaum Fisher,Fisher,94,"$2,700 ",,,,F,,,$2.7 ,,,,,,,,,,,,,,
James Kim,Kim,94,"$2,700 ",,,,M,,,$2.7 ,,,,,,,,,,,,,,
Samuel Jayson LeFrac,LeFrac,94,"$2,700 ",,,,M,,,$2.7 ,,,,,,,,,,,,,,
Richard Egan,Egan,99,"$2,600 ",,,,M,,,$2.6 ,,,,,,,,,,,,,,
Alan Gerry,Gerry,99,"$2,600 ",71,Cable TV,Broadcast,M,Liberty,,$2.6 ,,,,,,,,,,,,,,
William Morean,Morean,99,"$2,600 ",,,,M,,,$2.6 ,,,,,,,,,,,,,,
James L. Sorenson,Sorenson,99,"$2,600 ",,,,M,,,$2.6 ,,,,,,,,,,,,,,
Leonard Norman Stern,Stern,99,"$2,600 ",,,,M,,,$2.6 ,,,,,,,,,,,,,,
Joan Beverly Kroc,Kroc,104,"$2,500 ",,McDonalds,Food,F,,,$2.5 ,,,,,,,,,,,,,,
George Lucas,Lucas,104,"$2,500 ",,"Filmmaker, Star Wars",,M,,,$2.5 ,,,,,,,,,,,,,,
David Rockefeller Sr.,Rockefeller,104,"$2,500 ",,,,M,,,$2.5 ,,,,,,,,,,,,,,
Pradeep Sindhu,Sindhu,104,"$2,500 ",,,,M,,,$2.5 ,,,,,,,,,,,,,,
Robert Glaser,Glaser,108,"$2,400 ",38,Real Networks,Broadcast,M,Seattle,WA,$2.4 ,,,,,,,,,,,,,,
Martha Robinson Rivers Ingram,Ingram,108,"$2,400 ",,,,F,,,$2.4 ,,,,,,,,,,,,,,
John C. Malone,Malone,108,"$2,400 ",59,Media mogul,Media,M,,,$2.4 ,,,,,,,,,,,,,,
Robert Rowling,Rowling,108,"$2,400 ",,,,M,,,$2.4 ,,,,,,,,,,,,,,
William Wrigley Jr,Wrigley,108,"$2,400 ",,,,M,,,$2.4 ,,,,,,,,,,,,,,
Michael Birck,Birck,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Gordon Peter Getty,Getty,113,"$2,300 ",64,Inheritance,Oil,M,San Francisco,CA,$2.3 ,,,,,,,,,,,,,,
Bobby R. Johnson,Johnson,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Edmund Wattis LIttlefield,Littlefield,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Gary Magness,Magness,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Kim Magness,Magness,113,"$2,300 ",,,,F,,,$2.3 ,,,,,,,,,,,,,,
Lowry L. Mays,Mays,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Preston Robert Tisch,Tisch,113,"$2,300 ",,,,M,,,$2.3 ,,,,,,,,,,,,,,
Jain Naveen,Naveen,121,"$2,200 ",41,,,M,,,$2.2 ,,,,,,,,,,,,,,
Roger W. Sant,Sant,121,"$2,200 ",,,,M,,,$2.2 ,,,,,,,,,,,,,,
Norman Waitt,Waitt,121,"$2,200 ",,,,M,,,$2.2 ,,,,,,,,,,,,,,
William Morse Davidson,Davidson,124,"$2,100 ",77,Guardian Industries Corp,,M,Bloomfield Hills,MI,$2.1 ,,,,,,,,,,,,,,
Ray Lee Hunt,Hunt,124,"$2,100 ",,,,M,,,$2.1 ,,,,,,,,,,,,,,
Barbara Piasecka Johnson,Johnson,124,"$2,100 ",,,,F,,,$2.1 ,,,,,,,,,,,,,,
Andrew McKelvey,McKelvey,124,"$2,100 ",,,,M,,,$2.1 ,,,,,,,,,,,,,,
Ernest Stempel,Stempel,124,"$2,100 ",,,,M,,,$2.1 ,,,,,,,,,,,,,,
Dennis Bakke,Bakke,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Susan Buffett Thompson,Buffett,129,"$2,000 ",,,,F,,,$2.0 ,,,,,,,,,,,,,,
Blase Thomas Golisano,Golisano,129,"$2,000 ",58,Paychecks,Finance,M,Rochester,NY,$2.0 ,,,,,,,,,,,,,,
Louis Gonda,Gonda,129,"$2,000 ",52,AIG Stock,Finance,M,Beverly Hills,,$2.0 ,,,,,,,,,,,,,,
Nancy Walton Laurie,Laurie,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Frank Levinson,Levinson,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Wendy McCaw,McCaw,129,"$2,000 ",,,,F,,,$2.0 ,,,,,,,,,,,,,,
Patrick Joseph McGovern,McGovern,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
John R. Menard Jr.,Menard,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Arthur J. Rock,Rock,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Fayez Shalaby Sarofim,Sarofim,129,"$2,000 ",,,,,,,$2.0 ,,,,,,,,,,,,,,
Vincent Smith,Smith,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Stephen Spielberg,Spielberg,129,"$2,000 ",,Film director,Entertainment,M,,,$2.0 ,,,,,,,,,,,,,,
Samuel Zell,Zell,129,"$2,000 ",,,,M,,,$2.0 ,,,,,,,,,,,,,,
Frank Batten Sr.,Batten,143,"$1,900 ",,,,M,,,$1.9 ,,,,,,,,,,,,,,
Mark Cuban,Cuban,143,"$1,900 ",,,,M,,,$1.9 ,,,,,,,,,,,,,,
Leona Helmsley,Helmsley,143,"$1,900 ",80,"Real estate, hotels",,F,New York ,NY,$1.9 ,,,,,,,,,,,,,,
John Little,Little,143,"$1,900 ",62,,,M,,,$1.9 ,,,,,,,,,,,,,,
Jing Jong Pan,Pan,143,"$1,900 ",,,,,,,$1.9 ,,,,,,,,,,,,,,
Laurence Alan Tisch,Tisch,143,"$1,900 ",,,Entertainment,M,,,$1.9 ,,,,,,,,,,,,,,
Henry C. Yuen,Yuen,143,"$1,900 ",,,,M,,,$1.9 ,,,,,,,,,,,,,,
Daniel S. Abraham,Abraham,150,"$1,800 ",76,Slim-Fast,,M,Palm Beach,FL,$1.8 ,,,,,,,,,,,,,,
"Herbert A Allen, Jr.",Allen,150,"$1,800 ",60,Stock Market,,M,New York,NY,$1.8 ,,,,,,,,,,,,,,
Arthur M. Blank,Blank,150,"$1,800 ",58,Home Depot,,M,Atlanta,GA,$1.8 ,,,,,,,,,,,,,,
Charles C. Butt,Butt,150,"$1,800 ",62,Grocery Stores,,M,San Antonio,TX,$1.8 ,,,,,,,,,,,,,,
"Lawrence Flinn, Jr.",Flinn,150,"$1,800 ",65,United Video Satellite Group,,M,Greenwich,CT,$1.8 ,,,,,,,,,,,,,,
Leslie L. Gonda,Gonda,150,"$1,800 ",81,International Lease Finance Co.,,M,Beverly Hills,CA,$1.8 ,,,,,,,,,,,,,,
Donald Joyce Hall,Hall,150,"$1,800 ",72,Inheritance (Hallmark Cards),,M,Mission Hills,KS,$1.8 ,,,,,,,,,,,,,,
Randolph Apperson Hearst,Hearst,150,"$1,800 ",84,Inheritance,,M,New York,NY,$1.8 ,,,,,,,,,,,,,,
Harry Wayne Huizenga,Huizenga,150,"$1,800 ",61,"BFI, Garbage, videos, automobiles",,M,Fort Lauderdale,FL,$1.8 ,,,,,,,,,,,,,,
Ralph Lauren,Lauren,150,"$1,800 ",60,Apparel,,M,New York,NY,$1.8 ,,,,,,,,,,,,,,
Robert Allen Naify,Naify,150,"$1,800 ",78,Movie theaters,,M,San Fracisco,CA,$1.8 ,,,,,,,,,,,,,,
Theresa Pan,Pan,150,"$1,800 ",N/A,Fiber Optics,,F,Milpitas,CA,$1.8 ,,,,,,,,,,,,,,
Carl Pohlad,Pohlad,150,"$1,800 ",85,MEI Corp,,M,Minneapolis,MN,$1.8 ,,,,,,,,,,,,,,
John Joe Ricketts,Ricketts,150,"$1,800 ",58,Ameritrade,,M,Omaha,NE,$1.8 ,,,,,,,,,,,,,,
Glen Taylor,Taylor,150,"$1,800 ",59,Printing,,M,Mankato,MN,$1.8 ,,,,,,,,,,,,,,
