Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Margaretta Taylor,"$5,100",Taylor,320,77,"media, automotive",Media & Entertainment,F,New York
Micky Arison,"$5,100",Arison,320,70,Carnival Cruises,Service,M,Florida
Terrence Pegula,"$5,000",Pegula,330,69,natural gas,Energy,M,Florida
Daniel Ziff,"$5,000",Ziff,330,48,investments,Finance & Investments,M,New York
Dirk Ziff,"$5,000",Ziff,330,56,investments,Finance & Investments,M,Florida
Robert F. Smith,"$5,000",Smith,330,57,private equity,Finance & Investments,M,Texas
Robert Ziff,"$5,000",Ziff,330,53,investments,Finance & Investments,M,New York
Li Ge,"$5,000",Li,330,53,biotech,Healthcare,M,
Karen Pritzker,"$4,900",Pritzker,345,62,"hotels, investments",Service,F,Connecticut
Pauline MacMillan Keinath,"$4,800",Keinath,349,86,Cargill,Food & Beverage,F,Missouri
Sam Zell,"$4,800",Zell,349,78,"real estate, private equity",Real Estate,M,Illinois
Stanley Druckenmiller,"$4,700",Druckenmiller,361,66,hedge funds,Finance & Investments,M,New York
Jim Davis,"$4,700",Davis,361,76,New Balance,Manufacturing,M,Massachusetts
Jensen Huang,"$4,700",Huang,361,57,semiconductors,Technology,M,California
Bernard Marcus,"$4,600",Marcus,375,90,Home Depot,Fashion & Retail,M,Georgia
Charles Dolan,"$4,600",Dolan,375,93,cable television,Media & Entertainment,M,New York
George Lucas,"$4,600",Lucas,375,75,Star Wars,Media & Entertainment,M,California
Arthur Blank,"$4,600",Blank,375,77,Home Depot,Sports,M,Georgia
Jeff Skoll,"$4,600",Skoll,375,55,eBay,Technology,M,California
Robert Bass,"$4,500",Bass,383,72,"oil, investments",Energy,M,Texas
"Chase Coleman, III.","$4,500",Coleman,383,44,hedge fund,Finance & Investments,M,New York
Tim Sweeney,"$4,500",Sweeney,383,49,video games,Media & Entertainment,M,North Carolina
Leonard Stern,"$4,500",Stern,383,82,real estate,Real Estate,M,New York
Tamara Gustavson,"$4,500",Gustavson,383,58,self storage,Service,F,Kentucky
Rocco Commisso,"$4,500",Commisso,383,70,telecom,Telecom,M,New Jersey
Ray Lee Hunt,"$4,400",Hunt,401,77,"oil, real estate",Energy,M,Texas
"Walter Scott, Jr.","$4,400",Scott,401,88,"utilities, telecom",Energy,M,Nebraska
"Julian Robertson, Jr.","$4,400",Robertson,401,87,hedge funds,Finance & Investments,M,New York
"Robert Rich, Jr.","$4,400",Rich,401,79,frozen foods,Food & Beverage,M,Florida
Martha Ingram,"$4,400",Ingram,401,84,"book distribution, transportation",Media & Entertainment,F,Tennessee
Tilman Fertitta,"$4,300",Fertitta,414,62,"Houston Rockets, entertainment",Food & Beverage,M,Texas
Ronda Stryker,"$4,300",Stryker,414,65,medical equipment,Healthcare,F,Michigan
