Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Ray Dalio,Dalio,57,"$18,400 ",70,hedge funds,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
Eli Broad,Broad,233,"$6,700 ",86,investments,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Steve Cohen,Cohen,101,"$12,900 ",63,hedge funds,Finance & Investments,M,Greenwich,CT,,,,,,,,,,,,,
Marc Benioff,Benioff,239,"$6,600 ",55,business software,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Richard Kinder,Kinder,239,"$6,600 ",75,pipelines,Energy,M,Houston,TX,,,,,,,,,,,,,
Robert Kraft,Kraft,244,"$6,500 ",78,New England Patriots,Sports,M,Brookline,MA,,,,,,,,,,,,,
Ann Walton Kroenke,Kroenke,244,"$6,500 ",71,Walmart,Fashion & Retail,F,Columbia,MO,,,,,,,,,,,,,
John A. Sobrato,Sobrato,244,"$6,500 ",80,real estate,Real Estate,M,Atherton,CA,,,,,,,,,,,,,
Leon Black,Black,252,"$6,400 ",68,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Israel Englander,Englander,252,"$6,400 ",71,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Diane Hendricks,Hendricks,257,"$6,300 ",72,roofing,Construction & Engineering,F,Afton,WI,,,,,,,,,,,,,
James Chambers,Chambers,261,"$6,200 ",62,"media, automotive",Media & Entertainment,M,Palisades,NY,,,,,,,,,,,,,
Katharine Rayner,Rayner,261,"$6,200 ",75,"media, automotive",Media & Entertainment,F,East Hampton,NY,,,,,,,,,,,,,
Margaretta Taylor,Taylor,261,"$6,200 ",77,"media, automotive",Media & Entertainment,F,Southampton,NY,,,,,,,,,,,,,
John Overdeck,Overdeck,267,"$6,100 ",50,hedge funds,Finance & Investments,M,Millburn,NJ,,,,,,,,,,,,,
David Siegel,Siegel,267,"$6,100 ",58,hedge funds,Finance & Investments,M,Scarsdale,NY,,,,,,,,,,,,,
Bubba Cathy,Cathy,272,"$6,000 ",65,Chick-fil-A,Food & Beverage,M,Atlanta,GA,,,,,,,,,,,,,
Dan Cathy,Cathy,272,"$6,000 ",66,Chick-fil-A,Food & Beverage,M,Atlanta,GA,,,,,,,,,,,,,
Richard LeFrak,LeFrak,272,"$6,000 ",74,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Marijke Mars,Mars,272,"$6,000 ",55,"candy, pet food",Food & Beverage,F,Los Angeles,CA,,,,,,,,,,,,,
Pamela Mars,Mars,272,"$6,000 ",59,"candy, pet food",Food & Beverage,F,Alexandria,VA,,,,,,,,,,,,,
Valerie Mars,Mars,272,"$6,000 ",60,"candy, pet food",Food & Beverage,F,New York,NY,,,,,,,,,,,,,
Victoria Mars,Mars,272,"$6,000 ",63,"candy, pet food",Food & Beverage,F,Newton Square,PA,,,,,,,,,,,,,
Steven Rales,Rales,272,"$6,000 ",68,manufacturing,Manufacturing,M,Santa Barbara,CA,,,,,,,,,,,,,
Reinhold Schmieding,Schmieding,272,"$6,000 ",65,medical devices,Healthcare,M,Naples,FL,,,,,,,,,,,,,
