Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Leonard Schleifer,Schleifer,1281,"$1,800 ",67,pharmaceuticals,Healthcare,M,,NY,,,,,,,,,,,,,
Todd Wagner,Wagner,1281,"$1,800 ",59,online media,Media & Entertainment,M,Dallas,TX,,,,,,,,,,,,,
Ronald Wanek,Wanek,1281,"$1,800 ",78,furniture,Manufacturing,M,St. Petersburg,FL,,,,,,,,,,,,,
Christopher Cline,Cline,1281,"$1,800 ",61,coal,Energy,M,North Palm Beach,FL,,,,,,,,,,,,,
William Koch,Koch,1281,"$1,800 ",79,"oil, investments",Energy,M,Palm Beach,FL,,,,,,,,,,,,,
Len Blavatnik,Blavatnik,59,"$17,700 ",62,diversified,Diversified,M,London,England,,,,,,,,,,,,,
David Booth,Booth,1349,"$1,700 ",74,mutual funds,Finance & Investments,M,Austin,TX,,,,,,,,,,,,,
Evgeny (Eugene) Shvidler,Shvidler,1511,"$1,500 ",55,"oil & gas, investments",Energy,M,London,England,,,,,,,,,,,,,
Peter Gassner,Gassner,1349,"$1,700 ",54,software,Technology,M,Pleasanton,CA,,,,,,,,,,,,,
Reid Hoffman,Hoffman,1349,"$1,700 ",52,LinkedIn,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
Jim Thompson,Thompson,1425,"$1,600 ",80,logistics,Logistics,M,Hong Kong,Hong Kong,,,,,,,,,,,,,
Jimmy John Liautaud,Liautaud,1349,"$1,700 ",56,sandwich chain,Food & Beverage,M,Key Largo,FL,,,,,,,,,,,,,
Catherine Lozick,Lozick,1349,"$1,700 ",74,valve manufacturing,Manufacturing,F,Fort Lauderdale,FL,,,,,,,,,,,,,
Gary Michelson,Michelson,1349,"$1,700 ",71,medical patents,Healthcare,M,Los Angeles,CA,,,,,,,,,,,,,
"Julio Mario Santo Domingo, III.",Santo Domingo,1349,"$1,700 ",34,beer,Food & Beverage,M,New York,NY,,,,,,,,,,,,,
Henry Swieca,Swieca,1349,"$1,700 ",62,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Jeffrey Talpins,Talpins,1349,"$1,700 ",44,hedge fund,Finance & Investments,M,Larchmont,NY,,,,,,,,,,,,,
Paul Foster,Foster,1349,"$1,700 ",62,oil refining,Energy,M,El Paso,TX,,,,,,,,,,,,,
Bill Alfond,Alfond,1425,"$1,600 ",71,shoes,Fashion & Retail,M,Boston,MA,,,,,,,,,,,,,
Susan Alfond,Alfond,1425,"$1,600 ",74,shoes,Fashion & Retail,F,Scarborough,ME,,,,,,,,,,,,,
Ted Alfond,Alfond,1425,"$1,600 ",75,shoes,Fashion & Retail,M,Weston,MA,,,,,,,,,,,,,
Nicolas Berggruen,Berggruen,1425,"$1,600 ",58,investments,Finance & Investments,M,Beverly Hills,CA,,,,,,,,,,,,,
O. Francis Biondi,Biondi,1425,"$1,600 ",55,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Hank & Doug Meijer,Meijer,224,"$6,800 ",,supermarkets,Fashion & Retail,M,Grand Rapids,MI,,,,,,,,,,,,,
Christopher Goldsbury,Goldsbury,1425,"$1,600 ",77,salsa,Food & Beverage,M,San Antonio,TX,,,,,,,,,,,,,
Ryan Graves,Graves,1425,"$1,600 ",36,uber,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Brian Higgins,Higgins,1425,"$1,600 ",54,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
George Joseph,Joseph,1425,"$1,600 ",98,insurance,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Charles Munger,Munger,1425,"$1,600 ",96,Berkshire Hathaway,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Craig Newmark,Newmark,1425,"$1,600 ",67,Craigslist,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Nelson Peltz,Peltz,1425,"$1,600 ",77,investments,Finance & Investments,M,Bedford,NY,,,,,,,,,,,,,
Jerry Reinsdorf,Reinsdorf,1425,"$1,600 ",83,sports teams,Sports,M,Chicago,IL,,,,,,,,,,,,,
Sheryl Sandberg,Sandberg,1425,"$1,600 ",50,Facebook,Technology,F,Menlo Park,CA,,,,,,,,,,,,,
Ben Silbermann,Silbermann,1425,"$1,600 ",37,Pinterest,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Thomas Steyer,Steyer,1425,"$1,600 ",62,hedge funds,Finance & Investments,M,San Francisco,CA,,,,,,,,,,,,,
Daniel Gilbert,Gilbert,233,"$6,700 ",57,Quicken Loans,Finance & Investments,M,Franklin,MI,,,,,,,,,,,,,
Evan Williams,Williams,1425,"$1,600 ",47,Twitter,Technology,M,San Francisco,CA,,,,,,,,,,,,,
"Jim Justice, II",Justice,1511,"$1,500 ",68,coal,Metals & Mining,M,Lewisburg,WV,,,,,,,,,,,,,
Louis Bacon,Bacon,1511,"$1,500 ",63,hedge funds,Finance & Investments,M,Oyster Bay,NY,,,,,,,,,,,,,
Ron Burkle,Burkle,1511,"$1,500 ",67,"supermarkets, investments",Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Yvon Chouinard,Chouinard,1511,"$1,500 ",81,Patagonia,Fashion & Retail,M,Ventura,CA,,,,,,,,,,,,,
Stephen Feinberg,Feinberg,1511,"$1,500 ",59,private equity,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Kathy Fields,Fields,1511,"$1,500 ",61,skin care,Fashion & Retail,F,San Francisco,CA,,,,,,,,,,,,,
Bill Gross,Gross,1511,"$1,500 ",75,investments,Finance & Investments,M,Laguna Beach,CA,,,,,,,,,,,,,
Hamilton James,James,1511,"$1,500 ",68,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Seth Klarman,Klarman,1511,"$1,500 ",62,investments,Finance & Investments,M,Newton,MA,,,,,,,,,,,,,
Jeffrey Lorberbaum,Lorberbaum,1511,"$1,500 ",65,flooring,Manufacturing,M,Chattanooga,TN,,,,,,,,,,,,,
Daniel Lubetzky,Lubetzky,1511,"$1,500 ",51,KIND Healthy Snacks,Food & Beverage,M,New York,NY,,,,,,,,,,,,,
Billy Joe (Red) McCombs,McCombs,1511,"$1,500 ",92,"real estate, oil, cars, sports",Diversified,M,San Antonio,TX,,,,,,,,,,,,,
Jim McKelvey,McKelvey,1511,"$1,500 ",54,mobile payments,Technology,M,St. Louis,MO,,,,,,,,,,,,,
Ronda Stryker,Stryker,298,"$5,800 ",65,medical equipment,Healthcare,F,Portage,MI,,,,,,,,,,,,,
Forrest Preston,Preston,1511,"$1,500 ",86,health care,Healthcare,M,Cleveland,TN,,,,,,,,,,,,,
Chad Richison,Richison,1511,"$1,500 ",49,payroll processing,Technology,M,Edmond,OK,,,,,,,,,,,,,
Katie Rodan,Rodan,1511,"$1,500 ",64,skin care,Fashion & Retail,F,San Francisco,CA,,,,,,,,,,,,,
Martin Selig,Selig,1511,"$1,500 ",82,real estate,Real Estate,M,Seattle,WA,,,,,,,,,,,,,
Timothy Headington,Headington,1511,"$1,500 ",69,"oil & gas, investments",Energy,M,Dallas,TX,,,,,,,,,,,,,
Kenneth Tuchman,Tuchman,1511,"$1,500 ",60,outsourcing,Service,M,Denver,CO,,,,,,,,,,,,,
Stephen Winn,Winn,1511,"$1,500 ",73,real estate services,Real Estate,M,Dallas,TX,,,,,,,,,,,,,
Marian Ilitch,Ilitch,478,"$4,100 ",87,Little Caesars,Food & Beverage,F,Bingham Farms,MI,,,,,,,,,,,,,
Edmund Ansin,Ansin,1605,"$1,400 ",83,television,Media & Entertainment,M,Miami Beach,FL,,,,,,,,,,,,,
Herb Chambers,Chambers,1605,"$1,400 ",78,car dealerships,Automotive,M,Boston,MA,,,,,,,,,,,,,
Bharat Desai,Desai,1605,"$1,400 ",67,IT consulting,Technology,M,Fisher Island,FL,,,,,,,,,,,,,
John Edson,Edson,1605,"$1,400 ",87,leisure craft,Manufacturing,M,Jackson,WY,,,,,,,,,,,,,
Robert Fisher,Fisher,1605,"$1,400 ",66,Gap,Service,M,San Francisco,CA,,,,,,,,,,,,,
William Fisher,Fisher,1605,"$1,400 ",62,Gap,Fashion & Retail,M,San Francisco,CA,,,,,,,,,,,,,
William Young,Young,1008,"$2,300 ",79,plastics,Manufacturing,M,Ypsilanti,MI,,,,,,,,,,,,,
Alan Gerry,Gerry,1605,"$1,400 ",91,cable television,Media & Entertainment,M,Liberty,NY,,,,,,,,,,,,,
J. Tomilson Hill,Hill,1605,"$1,400 ",71,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
"B. Wayne Hughes, Jr.",Hughes,1605,"$1,400 ",59,storage facilities,Real Estate,M,Lexington,KY,,,,,,,,,,,,,
Michael Krasny,Krasny,1605,"$1,400 ",66,retail,Technology,M,Highland Park,IL,,,,,,,,,,,,,
Philippe Laffont,Laffont,1605,"$1,400 ",52,hedge fund,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
James Leininger,Leininger,1605,"$1,400 ",74,medical products,Healthcare,M,San Antonio,TX,,,,,,,,,,,,,
George Marcus,Marcus,1605,"$1,400 ",78,real estate,Real Estate,M,Los Altos Hills,CA,,,,,,,,,,,,,
Gail Miller,Miller,1605,"$1,400 ",76,car dealerships,Automotive,F,Salt Lake City,UT,,,,,,,,,,,,,
Fayez Sarofim,Sarofim,1605,"$1,400 ",91,money management,Finance & Investments,M,Houston,TX,,,,,,,,,,,,,
Peter Sperling,Sperling,1605,"$1,400 ",60,education,Service,M,Phoenix,AZ,,,,,,,,,,,,,
Kevin Systrom,Systrom,1605,"$1,400 ",36,Instagram,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Jonathan Tisch,Tisch,1605,"$1,400 ",66,"insurance, NFL team",Diversified,M,New York,NY,,,,,,,,,,,,,
Wilma Tisch,Tisch,1605,"$1,400 ",92,diversified,Finance & Investments,F,New York,NY,,,,,,,,,,,,,
Kenny Troutt,Troutt,1605,"$1,400 ",72,telecom,Telecom,M,Dallas,TX,,,,,,,,,,,,,
Chris Wanstrath,Wanstrath,1605,"$1,400 ",34,collaborative software,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Charlotte Colket Weber,Weber,1605,"$1,400 ",77,Campbell Soup,Food & Beverage,F,Hobe Sound,FL,,,,,,,,,,,,,
Dan Wilks,Wilks,1605,"$1,400 ",63,natural gas,Energy,M,Cisco,TX,,,,,,,,,,,,,
Farris Wilks,Wilks,1605,"$1,400 ",67,natural gas,Energy,M,Cisco,TX,,,,,,,,,,,,,
Marc Andreessen,Andreessen,1717,"$1,300 ",48,venture capital investing,Finance & Investments,M,Silicon Valley,CA,,,,,,,,,,,,,
Brian Armstrong,Armstrong,1717,"$1,300 ",36,cryptocurrency,Finance & Investments,M,San Francisco,CA,,,,,,,,,,,,,
Steve Case,Case,1717,"$1,300 ",61,AOL,Technology,M,Washington,DC,,,,,,,,,,,,,
Henry Davis,Davis,1717,"$1,300 ",68,beef processing,Food & Beverage,M,Omaha,NE,,,,,,,,,,,,,
Darwin Deason,Deason,1717,"$1,300 ",79,Xerox,Service,M,Dallas,TX,,,,,,,,,,,,,
Jamie Dimon,Dimon,1717,"$1,300 ",63,banking,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Manuel Moroun,Moroun,1281,"$1,800 ",92,transportation,Logistics,M,Grosse Pointe Shores,MI,,,,,,,,,,,,,
Anne Gittinger,Gittinger,1717,"$1,300 ",84,Nordstrom department stores,Fashion & Retail,F,Seattle,WA,,,,,,,,,,,,,
Sue Gross,Gross,1717,"$1,300 ",69,investments,Finance & Investments,F,Laguna Beach,CA,,,,,,,,,,,,,
Mitchell Jacobson,Jacobson,1717,"$1,300 ",68,industrial equipment,Service,M,Locust Valley,NY,,,,,,,,,,,,,
Alexander Karp,Karp,1717,"$1,300 ",52,software firm,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
Sidney Kimmel,Kimmel,1717,"$1,300 ",91,retail,Fashion & Retail,M,New York,NY,,,,,,,,,,,,,
"Cargill MacMillan, III.",MacMillan,1717,"$1,300 ",60,Cargill,Food & Beverage,M,Boulder,CO,,,,,,,,,,,,,
John MacMillan,MacMillan,1717,"$1,300 ",70,Cargill,Food & Beverage,M,Orono,MN,,,,,,,,,,,,,
Martha MacMillan,MacMillan,1717,"$1,300 ",68,Cargill,Food & Beverage,F,Orono,MN,,,,,,,,,,,,,
William MacMillan,MacMillan,1717,"$1,300 ",65,Cargill,Food & Beverage,M,Englewood,CO,,,,,,,,,,,,,
Gary Magness,Magness,1717,"$1,300 ",65,"cable TV, investments",Media & Entertainment,M,Denver,CO,,,,,,,,,,,,,
Alexander Rovt,Rovt,1717,"$1,300 ",67,"fertilizer, real estate",Manufacturing,M,New York,NY,,,,,,,,,,,,,
Steven Sarowitz,Sarowitz,1717,"$1,300 ",54,payroll software,Technology,M,Highland Park,IL,,,,,,,,,,,,,
Thomas Bailey,Bailey,1818,"$1,200 ",83,money management,Finance & Investments,M,Aspen,CO,,,,,,,,,,,,,
J. Hyatt Brown,Brown,1818,"$1,200 ",82,insurance,Finance & Investments,M,Ormond Beach,FL,,,,,,,,,,,,,
James Duff,Duff,1818,"$1,200 ",58,"tires, diversified",Diversified,M,Hattiesburg,MS,,,,,,,,,,,,,
Thomas Duff,Duff,1818,"$1,200 ",63,"tires, diversified",Diversified,M,Hattiesburg,MS,,,,,,,,,,,,,
Joseph Edelman,Edelman,1818,"$1,200 ",64,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Roger Penske,Penske,1511,"$1,500 ",82,cars,Automotive,M,Birmingham,MI,,,,,,,,,,,,,
J. Christopher Flowers,Flowers,1818,"$1,200 ",62,investments,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Donald Friese,Friese,1818,"$1,200 ",79,manufacturing,Manufacturing,M,Los Angeles,CA,,,,,,,,,,,,,
Richard Hayne,Hayne,1818,"$1,200 ",72,Urban Outfitters,Fashion & Retail,M,Philadelphia,PA,,,,,,,,,,,,,
Irwin Jacobs,Jacobs,1818,"$1,200 ",86,semiconductors,Technology,M,La Jolla,CA,,,,,,,,,,,,,
Thomas James,James,1818,"$1,200 ",77,finance,Finance & Investments,M,St. Petersburg,FL,,,,,,,,,,,,,
Frank Laukien,Laukien,1818,"$1,200 ",59,scientific equipment,Manufacturing,M,Boston,MA,,,,,,,,,,,,,
John Martin,Martin,1818,"$1,200 ",68,pharmaceuticals,Healthcare,M,Los Angeles,CA,,,,,,,,,,,,,
Jerry Moyes,Moyes,1818,"$1,200 ",76,transportation,Logistics,M,Tolleson,AZ,,,,,,,,,,,,,
Bruce Nordstrom,Nordstrom,1818,"$1,200 ",86,Nordstrom department stores,Fashion & Retail,M,Seattle,WA,,,,,,,,,,,,,
Eren Ozmen,Ozmen,1818,"$1,200 ",61,aerospace,Manufacturing,F,Reno,NV,,,,,,,,,,,,,
Fatih Ozmen,Ozmen,1818,"$1,200 ",61,aerospace,Manufacturing,M,Reno,NV,,,,,,,,,,,,,
David Paul,Paul,1818,"$1,200 ",53,medical devices,Healthcare,M,Audubon,PA,,,,,,,,,,,,,
Mark Pincus,Pincus,1818,"$1,200 ",53,online games,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Tom Preston-Werner,Preston-Werner,1818,"$1,200 ",40,collaborative software,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Thomas Tull,Tull,1818,"$1,200 ",49,"movies, investments",Media & Entertainment,M,Westlake Village,CA,,,,,,,,,,,,,
Jayshree Ullal,Ullal,1818,"$1,200 ",58,computer networking,Technology,F,Saratoga,CA,,,,,,,,,,,,,
George Yancopoulos,Yancopoulos,1818,"$1,200 ",60,pharmaceuticals,Healthcare,M,Yorktown Heights,NY,,,,,,,,,,,,,
"Richard Yuengling, Jr.",Yuengling,1818,"$1,200 ",76,beer,Food & Beverage,M,Pottsville,PA,,,,,,,,,,,,,
William Ackman,Ackman,1941,"$1,100 ",53,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Sara Blakely,Blakely,1941,"$1,100 ",48,Spanx,Fashion & Retail,F,Atlanta,GA,,,,,,,,,,,,,
Adam Bowen,Bowen,1941,"$1,100 ",44,e-cigarettes,Manufacturing,M,San Mateo,CA,,,,,,,,,,,,,
Paul Fireman,Fireman,1941,"$1,100 ",75,Reebok,Fashion & Retail,M,Brookline,MA,,,,,,,,,,,,,
Jeff Green,Green,1941,"$1,100 ",42,digital advertising,Media & Entertainment,M,Palm Beach,FL,,,,,,,,,,,,,
Richard Kayne,Kayne,1941,"$1,100 ",74,investments,Finance & Investments,M,Santa Monica,CA,,,,,,,,,,,,,
Jim Koch,Koch,1941,"$1,100 ",70,beer,Food & Beverage,M,Newton,MA,,,,,,,,,,,,,
Theodore Leonsis,Leonsis,1941,"$1,100 ",64,sports teams,Sports,M,Potomac ,MD,,,,,,,,,,,,,
Nancy Lerner,Lerner,1941,"$1,100 ",59,"banking, credit cards",Finance & Investments,F,Cleveland,OH,,,,,,,,,,,,,
Norma Lerner,Lerner,1941,"$1,100 ",83,banking,Finance & Investments,F,Cleveland,OH,,,,,,,,,,,,,
Randolph Lerner,Lerner,1941,"$1,100 ",57,"banking, credit cards",Finance & Investments,M,Cleveland,OH,,,,,,,,,,,,,
Frederic Luddy,Luddy,1941,"$1,100 ",65,software,Technology,M,San Diego,CA,,,,,,,,,,,,,
Duncan MacMillan,MacMillan,1941,"$1,100 ",82,Bloomberg LP,Finance & Investments,M,Princeton,NJ,,,,,,,,,,,,,
James Monsees,Monsees,1941,"$1,100 ",39,e-cigarettes,Manufacturing,M,San Francisco,CA,,,,,,,,,,,,,
Michael Price,Price,1941,"$1,100 ",67,investments,Finance & Investments,M,Far Hills,NJ,,,,,,,,,,,,,
Steven Roth,Roth,1941,"$1,100 ",78,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
Chris Sacca,Sacca,1941,"$1,100 ",44,venture capital investing,Finance & Investments,M,Truckee,CA,,,,,,,,,,,,,
Alice Schwartz,Schwartz,1941,"$1,100 ",93,biotech,Healthcare,F,El Cerrito,CA,,,,,,,,,,,,,
Michael Steinhardt,Steinhardt,1941,"$1,100 ",79,hedge funds,Finance & Investments,M,Mount Kisco,NY,,,,,,,,,,,,,
Anthony Wood,Wood,1941,"$1,100 ",54,Roku,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
Martha Ford,Ford,1605,"$1,400 ",94,Ford Motor,Automotive,F,Grosse Point,MI,,,,,,,,,,,,,
Donald Foss,Foss,1717,"$1,300 ",75,auto loans,Automotive,M,Farmington Hills,MI,,,,,,,,,,,,,
Matthew Calkins,Calkins,2057,"$1,000 ",46,software,Technology,M,Rosslyn,VA,,,,,,,,,,,,,
Safra Catz,Catz,2057,"$1,000 ",58,software,Technology,F,Redwood City,CA,,,,,,,,,,,,,
John Goff,Goff,2057,"$1,000 ",65,real estate,Real Estate,M,Fort Worth,TX,,,,,,,,,,,,,
Mimi Haas,Haas,2057,"$1,000 ",73,Levi's jeans,Fashion & Retail,F,San Francisco,CA,,,,,,,,,,,,,
David Hall,Hall,2057,"$1,000 ",68,automotive technology,Automotive,M,Alameda,CA,,,,,,,,,,,,,
Donald Horton,Horton,2057,"$1,000 ",69,homebuilding,Real Estate,M,Fort Worth,TX,,,,,,,,,,,,,
Kylie Jenner,Jenner,2057,"$1,000 ",22,cosmetics,Fashion & Retail,F,Los Angeles,CA,,,,,,,,,,,,,
Robert Friedland,Friedland,2057,"$1,000 ",69,mining,Metals & Mining,M,,Singapore,,,,,,,,,,,,,
Leo Koguan,Koguan,2057,"$1,000 ",64,IT provider,Technology,M,Sugarland,TX,,,,,,,,,,,,,
Tor Peterson,Peterson,1349,"$1,700 ",55,commodities,Metals & Mining,M,Zug,Switzerland,,,,,,,,,,,,,
Henry Engelhardt,Engelhardt,1818,"$1,200 ",61,insurance,Finance & Investments,M,Cardiff,Wales UK,,,,,,,,,,,,,
Lowell Milken,Milken,2057,"$1,000 ",71,investments,Finance & Investments,M,Los Angeles,CA,,,,,,,,,,,,,
Carolyn Rafaelian,Rafaelian,2057,"$1,000 ",53,jewelry,Fashion & Retail,F,Newport,RI,,,,,,,,,,,,,
Evan Sharp,Sharp,2057,"$1,000 ",37,Pinterest,Technology,M,San Francisco,CA,,,,,,,,,,,,,
Anastasia Soare,Soare,2057,"$1,000 ",62,cosmetics,Fashion & Retail,F,Beverly Hills,CA,,,,,,,,,,,,,
Axel Stawski,Stawski,2057,"$1,000 ",69,real estate,Real Estate,M,Sagaponack,NY,,,,,,,,,,,,,
James Truchard,Truchard,2057,"$1,000 ",76,software,Technology,M,Austin,TX,,,,,,,,,,,,,
Sandy Weill,Weill,2057,"$1,000 ",86,Citigroup,Finance & Investments,M,Sonoma,CA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
